Title,Industries,Job Skills
Accountant Yangon,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Microsoft Excel and Teamwork communication skills and Professional Driving Skills and FULL SET OF ACCOUNTS and Bookkeeping of accounts and Finance Accounting Field and Account payable Receivable and Accounting Software
Accounting Assistant Manager,['Food Beverages'],Proactive and teamwork skills
Accounting Supervisor,['Advisory and Financial Services'],FULL SET OF ACCOUNTS
Accounting Supervisor CPD Licence,"['Banking Micro finance Insurance', 'Banking Micro finance Insurance', 'Banking Micro finance Insurance', 'Banking Micro finance Insurance', 'Banking Micro finance Insurance', 'Banking Micro finance Insurance', 'Banking Micro finance Insurance']",communication with all levels and Microsoft Office and Thai language and Up to date Tax Knowledges and Governmental office relations and English Language Skill and Accounting Auditing Taxation
Accounts Receivable Collections,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",communication with all levels and Microsoft Office and Negotiations and Dealing and Cash Collecting and Polite Speaking and Acccount Receivable and Debt Collection and Deadline oriented
Activations Executive Events Activations,"['Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications']",Interpersonal skill and Teamwork and collaboration and Operation and Positive attitude and Interpersonal skill and Teamwork and collaboration and Operation and Positive attitude
Activations Manager Events Activations,"['Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications']",Interpersonal skill and Team Player Team Builder and High level of problem solving and Negotiations and Dealing and good communication and Strategic Thinking and Interpersonal skill and Team Player Team Builder and High level of problem solving and Good at communications and Deals Negotitation and Creative Critical thinking
Admin,['Property Real Estate'],Teamwork communication skills
Admin Assistant,"['Law Compliance', 'Law Compliance', 'Law Compliance', 'Law Compliance', 'Property Real Estate', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Call Center', 'Travel Tourism Transportation']",Microsoft s and Teamwork communication skills and Administration HR and Email internet and Admin HR field and Administration and Operations Admin logistics and Operation HR Admin Events F B and Office Admin and Good communication and will lea and Administration HR
Admin Assistant Manager,['Retail Fashion FMCG'],Chinese skills
Admin Executive,"['Food Beverages', 'Travel Tourism Transportation']",Administration and Marketing Management
Admin Executive Hlaing Female,['Automotive Aviation'],Admin Data entry
Admin Executive Site Branch Waizayantar Office,['IT Telecom'],Office management field work
Admin HR Executive,['Travel Tourism Transportation'],Customer Management
Admin Logistic Manager,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Operations Admin logistics and Communication Skills and Negotiation Skills
Admin Logistic Manager Officer,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Microsoft Office and Communication Skills and Interpersonal skill and Technical skill
Admin Manager,"['IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications']",Administration and Project Management and Leadership and English Communication Skills and MS office suites intermediate and Administration and Office and Administration and Project Administration and Communication Administration and Administration and Office and Administration and Project Administration and Administration Communication
Admin Manager Position,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",MS Office Suit and Interpersonal skill and Meeting Event Planning and Computer Email and Internet and Time Management
Admin Marketing Assistant,"['IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom']",English and Administration and Administration Marketing Sal and Microsoft Office and Marketing and Communication and Communicative Spoken English and SEO and Japanese Language N and Chinese Communicable and Can use Google tools and Good Interpersonal skill
Admin Officer Male Posts,['Food Beverages'],Operations Admin logistics
Admin Specialist,['IT Telecom'],Administration
Admin Staff,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Energy Utilities']",Communication Skills and Interpersonal skill and MS Office and Administration
Admin Staff Female Post,['Manufacturing Warehousing'],Teamwork communication skills
Admin Supervisor Admin Executive for MDY,['Mining Metal Chemicals'],Administration
Admin and HR Manager,"['Recruitment', 'Recruitment']",Proficient Problem Solving and Proficient Problem Solving
Admin assistant and Chinese translator,"['Energy Utilities', 'Energy Utilities']",Proactive and teamwork skills and Administration HR
Admin staff,['Automotive Aviation'],lcci Level
Admission Assistant,"['Education Training', 'Education Training']",Admissions and Admission
Aesthetics Therapist,"['Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare']",customer services and Beauty Spa and Nurse Aide
Aftersales Service Manager,"['IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom']",Aftersales management and Aftersales Service and Aftersales Service Admin and Electronic Repair and electronic repair design
Agriculture Officer Assistant Male Posts,['Agriculture'],Farm and Agriculture
Agronomist Technician,"['Agriculture', 'Agriculture']",operation project and Team work leadership analytic
Airfield Lighting CEPP Technician,['Automotive Aviation'],Teamwork and collaboration
Android Developer,"['IT Telecom', 'IT Telecom', 'IT Telecom']",Problem Solving Skill and Android Developer and IT Knowledges
Apprentice Technician,['IT Telecom'],PC Networking A Advanced
Architect,"['Banking Micro finance Insurance', 'Agriculture', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Teamwork communication skills and Design and Project Management and Organizing skills and Architecture and Communication Skills and Technical skill and Interpersonal Skills and Architecture and Architecture and construction and Architecture design and Architecture Design Management
Architect Design Engineer,['Agriculture'],Architectural
Architect Interior Designer,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering']",English language intermediate and Rhino D and Creative Designer and Microsoft Word Microsoft Pow and Adobe Photoshop CS Using E and Auto Cad and D Max
Area Sales Executive Post,"['Medical Healthcare', 'Medical Healthcare']",Networking Specializezd and Networking Specializezd
Area Sales Manager,"['Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare']",Teamwork communication skills and Sales Management and Sales and Sales Manager and Sales Management and Sales
Area Sales Manager Ayeyarwady Region,['IT Telecom'],Management and sale
Area Sales Manager OTC Post in Yangon,['Medical Healthcare'],Medical Sale representative
Assistant Accountant,"['Retail Fashion FMCG', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Medical Healthcare']",LCCI Level I II III and Finance Accounting Field and Accounting and Finance and Jr Accountant and Finance Accounting Field and Accounting and Finance Accounting Field
Assistant Accountant Cashier,"['Energy Utilities', 'Energy Utilities', 'Energy Utilities', 'Energy Utilities', 'Energy Utilities']",Proactive and teamwork skills and Computer Skills Advanced and Ability to work flexibly and Excellent listening skill and Advanced bookkeeping skills
Assistant Admin Manager Female,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",Proactive and teamwork skills and Proficient Problem Solving and Administration HR and Ability to manage
Assistant Admin Staff,"['Agriculture', 'Agriculture']",Admin Data entry and Handling distribution
Assistant Auditor,['Retail Fashion FMCG'],Banking and Finance Skill
Assistant Business Development Manager,"['Recruitment', 'Recruitment', 'Recruitment', 'Recruitment', 'Recruitment', 'Recruitment']",Proficient Problem Solving and Ability to manage and Communication team work and Able to useDigitalTools G suit and Customer Services Analysis and and strong leadership skill
Assistant Engineer M E,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering']",AutoCAD and Electrical Engineering and Power point Microsoft project
Assistant Engineer or Executive Engineer Tachileik Male,['IT Telecom'],Self management skills
Assistant Executive Housekeeper,['Hospitality Hotel'],Planning communicating monitor
Assistant Factory Manager,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Logistics customer service and Leadership skill and Problem Solving Skill and Business Administration and Production Management and Safety Management and Self Motivation and Computer Skills and Working under pressure and Communication interpersonal and Organizational Skills and individual or team player and Detail Oriented and Team Work Collaboration Skill and Manageble to be in deadline
Assistant Finance Manager Export Import and Banking,"['Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare']",Import and export Trading and Banking and Banking operations
Assistant General Manager,"['Education Training', 'Education Training', 'Education Training', 'Education Training']",General management and Administration and Operation Management and Education and Teaching
Assistant Manager Operation Management,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",communication with all levels and Microsoft Office and Logistics Supply Management and Time management and Quality control and Business Administration and Others equipments and Industrial management and Strong analytical and problem s and Factory Management Skill and Leadership Multitasking
Assistant Manager Sale Marketing,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Sales Management and Sales Operations Process and customer services and Sale and marketing Management
Assistant Manager Sale Marketing Yangon,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Sales Management and Sales Operations Process and customer services and Sale and marketing Management
Assistant Manager Sales Marketing,['Manufacturing Warehousing'],Banking and Finance Skill
Assistant Manager Sales Marketing Yangon,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Sales Management and Sales Operations Process and Sales and Marketing Management and Sale Marketing supervisior
Assistant Manager Warehouse,['IT Telecom'],Teamwork communication skills
Assistant Marketing Manager,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Food Beverages', 'Food Beverages', 'Food Beverages']",Problem Solving and Negotiations and Microsoft Office and Leadership skill and Sales and Marketing Management and Teamwork communication skills and Ability to be a team player and Market Survey and Sale and marketing Management and Marketing and Communication
Assistant Mechanical Engineer,"['Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics']",Management and Enginnering and Mechanical System Installation and Mechanical Control automation
Assistant Merchandising Manager,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",Facilitation and Negotiation and Management skills Deligation and Merchandising skills
Assistant Music Teacher at International School,"['Education Training', 'Education Training', 'Education Training']",Music and Singing Playing Music Instrumen and Music Instructing
Assistant Operation,"['Energy Utilities', 'Energy Utilities', 'Energy Utilities', 'Energy Utilities', 'Energy Utilities', 'Energy Utilities', 'Energy Utilities']",Operations Admin logistics and Planning Operation Managing and Teamwork and quick learning and Good English in Skills and Computer Miscrosoft and Government Public Relation and Honesty and Reliability
Assistant Operations Manager,['Agriculture'],Accounting
Assistant Principal IB Diploma Programme Coordinator,['Education Training'],Fluent English
Assistant Regional Sales Manager Yangon Tractor Male Only Posts,['Agriculture'],Team Building
Assistant Sale Marketing Manager Position,"['Education Training', 'Education Training', 'Education Training', 'Education Training']",ERP support Implementation and Proactive and teamwork skills and Leadership Management and Marketing Management
Assistant Sales And Marketing Manager Logistics,['Shipping Logistics'],Sales and Marketing Management
Assistant Sales Manager,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",Proactive and teamwork skills and Proficient Problem Solving and Microsoft word excel and Powe and interpersonal skills and B C
Assistant Sales Marketing Yangon,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Sales Distribution and Sales Operations Process and Sales Marketing Customers care
Assistant Service Engineer,"['Medical Healthcare', 'Medical Healthcare']",Computing Skills and Engineering
Assistant Supply Chain,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Banking operations and Supply Chain Operations and Supply Chain Knowledge
Assistant Supply Chain Manager,['Agriculture'],Planning communicating monitor
Assistant Teacher at International School,"['Education Training', 'Education Training']",Teaching and Presentation and Teaching and Training
Assistant Warehouse Supervisor,['Agriculture'],Wearhouse Movers and Construct
Asstiant Chief Accountant Post Female,"['Education Training', 'Education Training']",Proactive and teamwork skills and Admin Data entry
Auditor,"['Medical Healthcare', 'Shipping Logistics']",SAP Software Skill and 
Auditor Female Posts,"['Banking Micro finance Insurance', 'Banking Micro finance Insurance']",Admin Data entry and HR Skill Knowledge
B B Sales,"['IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom']",English and Communication Skills and Teamwork and Sales Marketing
BD Senior Manager URGENT,"['Construction Engineering', 'Construction Engineering']",Business Development Managing and Business Development Expertise
Backend Web Developer Laravel,['Travel Tourism Transportation'],Basic Developer Skills
Bancassurance Sales Analyst Life Insurance,"['Banking Micro finance Insurance', 'Banking Micro finance Insurance', 'Banking Micro finance Insurance']",Problem Solving and Sales Operations Process and Desired to upgrade and improve
Bar Manager,['Food Beverages'],Proactive and teamwork skills
Bartender,['Food Beverages'],Proactive and teamwork skills
Beauty Advisor YGN posts MDY posts TGI posts,"['Retail Fashion FMCG', 'Retail Fashion FMCG']",customer services and Sales
Beauty Therapist,"['Recruitment', 'Recruitment']",Beauty Spa and Auditory Verbal Therapy
Beauty Therapist Leader,['Recruitment'],Sales Operations Process
Billing Executive LMD Tarmwe,"['IT Telecom', 'IT Telecom']",Banking and Finance Skill and Computer Skills Advanced
Biology Teacher,"['Education Training', 'Education Training', 'Education Training']",Teaching sharing Knowledge and Teaching and Presentation and English and biology study guide
Branch Manager,['Construction Engineering'],Expanded communication skills
Branch Manager Hinthada Male Post Tractor Sale,['Agriculture'],Sales Marketing Management Pr
Branch Manager Hmaw Bi Hyper Market,"['Retail Fashion FMCG', 'Retail Fashion FMCG']",Operation Management and Sales Operations Process
Branch Manager Mandalay Branch,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Administration Marketing Sal and Leadership skill and Teamwork and collaboration and Creative Problem Solving and Proactive and positive thinking
Branch Manager Mawlamyine,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Selling and communication and Proactive and teamwork skills and Teamwork communication skills and Proficient Problem Solving and distribution marketing
Branch Manager Shwe Nyaung Male Post Tractor Sale,['Agriculture'],Sales Marketing Management
Branch Officer,['Manufacturing Warehousing'],Able to communicate with people
Brand Executive Posts,['Medical Healthcare'],Medical Pharmacy Nursing
Business Assistant,['Medical Healthcare'],HR Management Operation Admin
Business Data Analyst,"['Agriculture', 'Agriculture', 'Agriculture']",Business solutions and Database Management System and Problem solving Interpersonal
Business Development Assistant Manager,['Medical Healthcare'],Businesses Development
Business Development Executive,"['Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare']",Leadership skill and Businesses Development and Sale and marketing Management and Learning Development and Team Work Skills
Business Development Manager,"['Recruitment', 'Recruitment', 'Recruitment', 'Advertising Media Communications', 'Advertising Media Communications', 'Property Real Estate', 'Property Real Estate', 'Property Real Estate', 'Property Real Estate', 'Property Real Estate', 'Property Real Estate', 'Property Real Estate', 'Manufacturing Warehousing', 'Hospitality Hotel', 'Hospitality Hotel', 'Hospitality Hotel', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom']",Sales Management and Businesses Development and Sales Business Analysis and Teamwork and communication and Sales Management and Planning communicating monitor and Customer Management and Leadership Management and Marketing Management and Sales Marketing Management Pr and Customer Services Analysis and and B to B sales and Businesses Development and Hotel and business Management and Hotel And Restaurant Management and Hotel General Management and Management and English and Project Management and Leadership skill and Communication Skills and Teamwork
Business Development Manager Advertising Media,"['Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications']",Businesses Development and Strong Presentations and Negotiations and Dealing and Interpersonal and Team Skills and smart with public speaking and Business development and Strong Presentations and Negotiations and Dealing and Interpersonal and Team Skills and smart with public speaking
Business Development Manager Freight Forwarding Logistics Field Female,"['Shipping Logistics', 'Shipping Logistics']",Teamwork communication skills and Professional Driving Skills
Business Development Manager Male Mandalay Post,['Agriculture'],Marketing Business Development
Business Development Manager Male Yangon Post,['Agriculture'],Marketing Business Development
Business Development Manager Yangon,"['IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Businesses Development and Sales Business Analysis and Strong Communication Skill and Business Administration and Teamwork and collaboration and Businesses Development and Sales Business Analysis and Good communication skills and Sale Marketing
Business Development Officer,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Businesses Development and Microsoft Word Excel Power Po and Economic Review and Law and Compliance
Business Development Operation Manager,"['Advisory and Financial Services', 'Advisory and Financial Services', 'Advisory and Financial Services']",Operation Management and Leadership skill and Banking and Finance
Business Executive,['Medical Healthcare'],distribution marketing
Business IT Assistant,['IT Telecom'],IT literacy
Business Lecturer,"['Education Training', 'Education Training', 'Education Training', 'Education Training']",Business Analytics and Business Development Manager and writing business letters and Business Management
Business Secretary,"['Food Beverages', 'Food Beverages', 'Food Beverages', 'Food Beverages', 'Food Beverages']",Business Secretary and Managing Director s secretary and Office Secretary and Secretary skill and Professional in Secretarial
C E Civil,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Project management and planning and Strong Communication Skill and Negotiations and Dealing
CCTV Sales,"['IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom']",Sales and Teamwork and Hard working fast learning and Critical thinking
CRM Customer Relationship Management Mandalay Female Post,['Agriculture'],Customer RelationshipManagement
CRM Customer Relationship Management Mdy Female Posts,['Agriculture'],Customer service experience
Call Center Data Entry,"['Call Center', 'Call Center']",Computer Skills and customer service computer
Candidate Care Internship,"['Recruitment', 'Recruitment', 'Recruitment', 'Recruitment']",Problem Solving Skill and customer services and Communication Skills and Proactive and teamwork skills
Car Maintenance In charge,['Travel Tourism Transportation'],operation project
Cash Collector,"['Banking Micro finance Insurance', 'Banking Micro finance Insurance', 'Banking Micro finance Insurance']",Microsoft s and Teamwork communication skills and Telephone Communications
Cashier,"['Agriculture', 'Agriculture', 'Agriculture', 'Agriculture', 'Agriculture', 'Agriculture', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Construction Engineering']",IT literacy and Retail Category Management and IT literacy and Retail Category Management and IT literacy and Retail Category Management and Microsoft word excel and Powe and Cashier years and Banking and Finance Skill
Cashier Female Posts,['Food Beverages'],Finance Accounting Field
Cashier Female Yangon Posts Lathar,['Agriculture'],Multi Skill for General Cashier
Cashier Position,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",Microsoft Excel and Problem Solving Skill and Accounting Knowledge and commitment with teamwork
Cashier post,['Medical Healthcare'],Cashier
Channel Sales Manager Electronic,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",Sales Distribution and Sales Management and Leadership skill
Chef,['Hospitality Hotel'],IT literacy
Chef De Partie,['Food Beverages'],Proactive and teamwork skills
Chef For Royal Dawei Hotel,['Hospitality Hotel'],Hotel And Restaurant Management
Chemical Engineer,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Proactive and teamwork skills and Learn quickly to new job and Proactive and teamwork skills and Learn quickly to new job
Chief Accountant,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Hospitality Hotel', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Manufacturing Warehousing', 'Energy Utilities', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Hospitality Hotel', 'Shipping Logistics']",Proactive and teamwork skills and FULL SET OF ACCOUNTS and Computer Skills Advanced and  and I can use ERP Software and Proactive and teamwork skills and Government Process and Banking and Finance Skill and Computerize Skill and Good English Burmese Typing and Chief Accountant and Finance Accounting Field and Chief Accountant and FULL SET OF ACCOUNTS and Finance Accounting Field and Financial Analysic Budgeting and Finance Accounting Field and Financial Management and Accounting and Chief Accountant and Finance Accounting Field and Financial Management and Accounting and Chief Accountant and Financial and Accounting and 
Chief Accountant CA,['Energy Utilities'],Financial Analysic Budgeting
Chief Accountant Manufacturing,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Proactive and teamwork skills and Team work leadership analytic and conceptual thinking creative and Accounting are my areas of expe
Chief Accountant Manufacturing Female Post,['Manufacturing Warehousing'],FULL SET OF ACCOUNTS
Chief Accountant Manufacturing URGENT,['Manufacturing Warehousing'],Finance Accounting Field
Chief Accountant Win Myint Mo Industries Company Ltd,['Mining Metal Chemicals'],Analytical thinking planning
Chief Engineer MEP,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Project Coordination and Project Management and Design Consultation and Project management and planning and Communication Skills and Interpersonal skill and Negotiation Skills and Technical skill
Chief Operation Officer Construction Trading,"['Construction Engineering', 'Construction Engineering']",Operation Management and Operations Admin logistics
Chief Surveyor PaLetWa,"['Construction Engineering', 'Construction Engineering']",civil engineering and Field Surveying in Rural and Ur
Chinese Language Accountant,"['Energy Utilities', 'Energy Utilities', 'Energy Utilities']",Financial Management and Accounting and Taxation and Languages Myan Eng and Chinese
Chinese Language Teacher Urgent,"['Education Training', 'Education Training']",Chinese skills and Chinese skills
Chinese Languages Teacher,"['Education Training', 'Education Training', 'Education Training']",Teaching sharing Knowledge and Teaching and Teacher
Chinese Speaking Marketing Coordinator,"['Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training']",Sales Marketing and PR and Communication and Digital marketing and Chinese speaking and Event Planning and Management
Chinese Translator,"['Energy Utilities', 'Retail Fashion FMCG']",Proactive and teamwork skills and Chinese skills HSK
City Taxi Driver,"['Automotive Aviation', 'Automotive Aviation', 'Automotive Aviation', 'Automotive Aviation']",Driving Skill and Languages skill and Driving Vehicles and Capacity Devleopment
Civil Engineer Vetting,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Strong Communication Skill and Good interpersonal Skill and Technical skill
Classroom Assistant Teacher,"['Education Training', 'Education Training', 'Education Training']",Proactive and teamwork skills and Teamwork communication skills and Work with patience
Cleaner,['Education Training'],Cleaning
Client Service Executive,"['Entertainment Events', 'Entertainment Events', 'Entertainment Events', 'Entertainment Events', 'Entertainment Events', 'Entertainment Events', 'Entertainment Events']",Project management and planning and Microsoft Word Excel Power Po and Creative Problem Solving and Client Relation Satisfaction and Client Account Management and Budgeting Costing and Proposal creation
